"No.","Time","Source","Destination","Protocol","Length","Info"
"7","0.455258945","Espressi_0d:7e:1d","Broadcast","ARP","90","Gratuitous ARP for 192.168.4.1 (Request)"
"8","0.465467823","Espressi_0d:83:09","Broadcast","ARP","90","Gratuitous ARP for 192.168.4.1 (Request) (duplicate use of 192.168.4.1 detected!)"
"11","1.451110139","Espressi_0d:7e:1c","Espressi_0d:83:09","802.11","56","Disassociate, SN=0, FN=0, Flags=........C"
"13","1.457873073","Espressi_0d:83:08","SitecomE_0b:d4:53","802.11","56","Disassociate, SN=0, FN=0, Flags=........C"
"17","1.460697236","Espressi_0d:7e:1d","Broadcast","802.11","56","Deauthentication, SN=3, FN=0, Flags=........C"
"18","1.461281362","Espressi_0d:83:09","Broadcast","802.11","56","Deauthentication, SN=3, FN=0, Flags=........C"
"61","3.291615262","Espressi_0d:83:08","SitecomE_0b:d4:53","802.11","56","Disassociate, SN=0, FN=0, Flags=........C"
"72","3.339150802","Espressi_0d:7e:1c","Espressi_0d:83:09","802.11","56","Disassociate, SN=0, FN=0, Flags=....R...C"
"85","3.411887744","Espressi_0d:7e:1d","Broadcast","802.11","56","Deauthentication, SN=13, FN=0, Flags=........C"
"87","3.620441530","Espressi_0d:7e:1c","Broadcast","802.11","156","Probe Request, SN=1, FN=0, Flags=........C, SSID=Sitecom0BD453"
"88","3.623825240","SitecomE_0b:d4:53","Espressi_0d:7e:1c","802.11","410","Probe Response, SN=829, FN=0, Flags=........C, BI=1000, SSID=Sitecom0BD453"
"90","3.625406634","Espressi_0d:83:08","Broadcast","802.11","156","Probe Request, SN=1, FN=0, Flags=........C, SSID=Sitecom0BD453"
"91","3.628769054","SitecomE_0b:d4:53","Espressi_0d:7e:1c","802.11","410","Probe Response, SN=830, FN=0, Flags=........C, BI=1000, SSID=Sitecom0BD453"
"104","3.878722683","Espressi_0d:7e:1d","Broadcast","802.11","301","Beacon frame, SN=1, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"105","3.892646534","Espressi_0d:83:09","Broadcast","802.11","301","Beacon frame, SN=1, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"122","4.728569629","Espressi_0d:7e:1c","Broadcast","802.11","143","Probe Request, SN=2, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"123","4.732005857","SitecomE_0b:d4:53","Espressi_0d:7e:1c","802.11","410","Probe Response, SN=835, FN=0, Flags=........C, BI=1000, SSID=Sitecom0BD453"
"129","4.752309267","Espressi_0d:83:08","Broadcast","802.11","143","Probe Request, SN=2, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"130","4.755700076","SitecomE_0b:d4:53","Espressi_0d:83:08","802.11","410","Probe Response, SN=838, FN=0, Flags=........C, BI=1000, SSID=Sitecom0BD453"
"136","4.806498084","Espressi_0d:7e:1d","Broadcast","802.11","301","Beacon frame, SN=9, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"137","4.812869919","Espressi_0d:83:09","Broadcast","802.11","301","Beacon frame, SN=10, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"151","5.492978923","Espressi_0d:7e:1c","Broadcast","802.11","143","Probe Request, SN=3, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"152","5.496410030","SitecomE_0b:d4:53","Espressi_0d:7e:1c","802.11","410","Probe Response, SN=841, FN=0, Flags=........C, BI=1000, SSID=Sitecom0BD453"
"153","5.516175640","Espressi_0d:7e:1d","Broadcast","802.11","301","Beacon frame, SN=16, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"154","5.528770775","Espressi_0d:83:09","Broadcast","802.11","301","Beacon frame, SN=16, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"155","5.535599643","Espressi_0d:83:08","Broadcast","802.11","143","Probe Request, SN=3, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"156","5.539038815","SitecomE_0b:d4:53","Espressi_0d:83:08","802.11","410","Probe Response, SN=844, FN=0, Flags=........C, BI=1000, SSID=Sitecom0BD453"
"162","5.618962520","Espressi_0d:7e:1d","Broadcast","802.11","301","Beacon frame, SN=18, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"163","5.631681497","Espressi_0d:83:09","Broadcast","802.11","301","Beacon frame, SN=18, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"177","6.318788097","Espressi_0d:83:08","Broadcast","802.11","143","Probe Request, SN=4, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"178","6.322197812","SitecomE_0b:d4:53","Espressi_0d:83:08","802.11","410","Probe Response, SN=847, FN=0, Flags=........C, BI=1000, SSID=Sitecom0BD453"
"184","6.335981534","Espressi_0d:7e:1d","Broadcast","802.11","301","Beacon frame, SN=25, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"185","6.351927207","Espressi_0d:83:09","Broadcast","802.11","301","Beacon frame, SN=25, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"235","8.973550411","Espressi_0d:83:08","Broadcast","802.11","143","Probe Request, SN=5, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"236","8.976932670","SitecomE_0b:d4:53","Espressi_0d:83:08","802.11","410","Probe Response, SN=850, FN=0, Flags=........C, BI=1000, SSID=Sitecom0BD453"
"242","8.998696927","Espressi_0d:7e:1d","Broadcast","802.11","301","Beacon frame, SN=50, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"243","9.010979715","Espressi_0d:83:09","Broadcast","802.11","301","Beacon frame, SN=51, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"258","9.738848064","Espressi_0d:83:08","Broadcast","802.11","143","Probe Request, SN=6, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"259","9.742254153","SitecomE_0b:d4:53","Espressi_0d:83:08","802.11","410","Probe Response, SN=853, FN=0, Flags=........C, BI=1000, SSID=Sitecom0BD453"
"265","9.818023198","Espressi_0d:7e:1d","Broadcast","802.11","301","Beacon frame, SN=59, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"266","9.831743613","Espressi_0d:83:09","Broadcast","802.11","301","Beacon frame, SN=59, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"267","9.911466421","Espressi_0d:83:08","Broadcast","802.11","156","Probe Request, SN=7, FN=0, Flags=........C, SSID=Sitecom0BD453"
"268","9.914809352","SitecomE_0b:d4:53","Espressi_0d:83:08","802.11","410","Probe Response, SN=856, FN=0, Flags=........C, BI=1000, SSID=Sitecom0BD453"
"272","9.921323126","Espressi_0d:7e:1d","Broadcast","802.11","301","Beacon frame, SN=59, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"273","9.932828454","Espressi_0d:83:09","Broadcast","802.11","301","Beacon frame, SN=60, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"274","9.972093585","Espressi_0d:7e:1c","Broadcast","802.11","143","Probe Request, SN=4, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"275","9.975506629","SitecomE_0b:d4:53","Espressi_0d:7e:1c","802.11","410","Probe Response, SN=859, FN=0, Flags=........C, BI=1000, SSID=Sitecom0BD453"
"281","10.022214578","Espressi_0d:7e:1d","Broadcast","802.11","301","Beacon frame, SN=60, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"282","10.034451848","Espressi_0d:83:08","SitecomE_0b:d4:53","802.11","60","Authentication, SN=361, FN=0, Flags=........C"
"290","10.040353820","Espressi_0d:83:08","SitecomE_0b:d4:53","802.11","219","Association Request, SN=362, FN=0, Flags=........C, SSID=Sitecom0BD453"
"293","10.044905476","SitecomE_0b:d4:53","Espressi_0d:83:08","802.11","223","Association Response, SN=863, FN=0, Flags=........C"
"295","10.045916988","SitecomE_0b:d4:53","Espressi_0d:83:08","802.11","81","Action, SN=864, FN=0, Flags=........C"
"297","10.049824441","Espressi_0d:83:09","Broadcast","802.11","301","Beacon frame, SN=61, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"298","10.125099779","Espressi_0d:7e:1d","Broadcast","802.11","301","Beacon frame, SN=62, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"302","10.243425639","SitecomE_0b:d4:53","Espressi_0d:83:08","EAPOL","163","Key (Message 1 of 4)"
"304","10.244483419","SitecomE_0b:d4:53","Espressi_0d:83:08","802.11","63","Action, SN=865, FN=0, Flags=........C"
"318","10.295267475","Espressi_0d:83:08","Broadcast","802.11","416","QoS Data, SN=0, FN=0, Flags=.p.....TC"
"322","10.329146430","Espressi_0d:7e:1d","Broadcast","802.11","301","Beacon frame, SN=63, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"323","10.342471147","Espressi_0d:83:09","Broadcast","802.11","301","Beacon frame, SN=64, FN=0, Flags=........C, BI=300, SSID=Wildcard (Broadcast)"
"326","10.590424379","Espressi_0d:83:08","Broadcast","802.11","416","QoS Data, SN=1, FN=0, Flags=.p.....TC"
"330","10.636648019","Espressi_0d:7e:1d","Broadcast","802.11","301","Beacon frame, SN=66, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"331","10.648603650","Espressi_0d:83:09","Broadcast","802.11","301","Beacon frame, SN=64, FN=0, Flags=........C, BI=300, SSID=Wildcard (Broadcast)"
"345","11.590588304","Espressi_0d:83:08","Broadcast","802.11","416","QoS Data, SN=2, FN=0, Flags=.p.....TC"
"347","11.596506971","SitecomE_0b:d4:53","Espressi_0d:83:08","802.11","656","QoS Data, SN=4, FN=0, Flags=.p....F.C"
"354","11.659663875","Espressi_0d:7e:1d","Broadcast","802.11","301","Beacon frame, SN=76, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"365","12.250968027","Espressi_0d:7e:1c","Espressi_0d:83:09","802.11","131","Authentication, SN=981, FN=0, Flags=........C"
"367","12.252723250","Espressi_0d:83:09","Espressi_0d:7e:1c","802.11","60","Authentication, SN=2409, FN=0, Flags=........C"
"369","12.257586325","Espressi_0d:7e:1c","Espressi_0d:83:09","802.11","195","Association Request, SN=982, FN=0, Flags=........C, SSID=ESPM_0D8308"
"377","12.287272634","Espressi_0d:7e:1d","Broadcast","802.11","301","Beacon frame, SN=83, FN=0, Flags=........C, BI=100, SSID=Wildcard (Broadcast)"
"378","12.306832933","Espressi_0d:7e:1c","Espressi_0d:83:09","LLC","252","U, func=UI; SNAP, OUI 0x18FE34 (Espressif Inc.), PID 0xEEEE"
"380","12.309240035","Espressi_0d:7e:1c","Espressi_0d:83:09","LLC","252","U, func=UI; SNAP, OUI 0x18FE34 (Espressif Inc.), PID 0xEEEE"
"386","12.316775314","Espressi_0d:7e:1c","Espressi_0d:83:09","LLC","112","U, func=UI; SNAP, OUI 0x18FE34 (Espressif Inc.), PID 0xEEEE"
"392","12.405661242","Espressi_0d:83:09","Broadcast","802.11","301","Beacon frame, SN=69, FN=0, Flags=........C, BI=1000, SSID=Wildcard (Broadcast)"
"393","12.585668431","Espressi_0d:7e:1d","Broadcast","802.11","301","Beacon frame, SN=84, FN=0, Flags=........C, BI=1000, SSID=Wildcard (Broadcast)"
"394","12.588238218","Espressi_0d:83:08","Broadcast","802.11","108","QoS Data, SN=7, FN=0, Flags=.p.....TC"
